name,object,closeness
Scene300_9, appletree,0.000092
Scene300_9, soccerball,0.656473
Scene301_0, piratehat,0.387128
Scene301_1, appletree,0.017518
Scene301_1, girl,0.000018
Scene301_1, piratehat,0.04478
Scene301_1, hotdog,0.023052
Scene301_2, cloud,0.000004
Scene301_2, piratehat,0.036407
Scene301_3, piratehat,0.04478
Scene301_4, table,0.000091
Scene301_4, oaktree,0.000327
Scene301_4, girl,0.000176
Scene301_4, piratehat,0.040549
Scene301_4, hotdog,0.008634
Scene301_5, lightning,0.013508
Scene301_5, piratehat,0.02742
Scene301_5, fire,0.000046
Scene301_6, snake,0.000015
Scene301_6, piratehat,0.05156
Scene301_6, soda,0.000023
Scene301_7, pinetree,0.000013
Scene301_7, piratehat,0.043435
Scene301_7, beachball,0.000072
Scene301_8, sun,0.00002
Scene301_8, table,0.000306
Scene301_8, piratehat,0.030288
Scene301_9, tent,0.224361
Scene301_9, piratehat,0.028425
Scene301_9, fire,0.000025
Scene302_0, girl,0.001855
Scene302_0, hotdog,0.995012
Scene302_0, kite,0.00001
Scene302_9, grill,0.000372
Scene302_9, tent,0.000067
Scene303_0, dog,0.000199
Scene303_0, beachball,0.034287
Scene303_1, dog,0.002851
Scene303_1, beachball,0.000123
Scene303_2, wintercap,0.015321
Scene303_2, beachball,0.003168
Scene303_3, grill,0.000198
Scene303_3, girl,0.000001
Scene303_3, dog,0.000042
Scene303_3, beachball,0.002704
Scene303_4, girl,0.000018
Scene303_4, dog,0.034597
Scene303_4, beachball,0.040015
Scene303_5, slide,0.23457
Scene303_5, girl,0.000001
Scene303_5, beachball,0.137381
Scene303_6, beachball,0.022709
Scene303_7, beachball,0.005283
Scene303_8, dog,0.235982
Scene303_8, sunglasses,0.055883
Scene303_9, sun,0.000003
Scene303_9, dog,0.004038
Scene303_9, sunglasses,0.111136
Scene303_9, beachball,0.000424
Scene303_9, tennisball,0.993521
Scene304_0, sandbox,0.847382
Scene304_0, shovel,0.452451
Scene304_1, swing,0.102643
Scene304_1, girl,0.000023
Scene304_1, dog,0.00019
Scene304_2, soda,0.625877
Scene304_2, pail,0.000423
Scene304_3, dog,0.189849
Scene304_4, bouncy,0.277898
Scene304_4, appletree,0.000005
Scene304_5, oaktree,0.930531
Scene304_5, sunglasses,0.10409
Scene304_6, sunglasses,0.059457
Scene304_7, girl,0.000024
Scene304_7, wizardhat,0.00157
Scene304_8, slide,0.077112
Scene304_8, girl,0.000659
Scene304_9, airplane,0.000001
Scene304_9, dog,0.052001
Scene306_0, baseballcap,0.049962
Scene306_0, beachball,0.003112
Scene306_1, beachball,0.705746
Scene306_2, crown,0.02481
Scene306_2, beachball,0.001891
Scene306_3, tent,0.000604
Scene306_3, oaktree,0.000061
Scene306_3, piratehat,0.02486
Scene306_3, beachball,0.213099
Scene306_4, beachball,0.000025
Scene306_5, girl,0.000001
Scene306_5, piratehat,0.028825
Scene306_5, tennisball,0.97531
Scene306_6, airplane,0.002494
Scene306_6, hamburger,0.991536
Scene306_6, baseball,0.063134
Scene306_6, beachball,0.001515
Scene306_7, sunglasses,0.150394
Scene306_7, beachball,0.006618
Scene306_8, table,0.029688
Scene306_8, beachball,0.006526
Scene306_9, oaktree,0.000142
Scene306_9, beachball,0.012715
Scene307_0, football,0.113211
Scene307_1, football,0.029173
Scene307_2, football,0.036846
Scene307_3, cat,0.013829
Scene307_3, sunglasses,0.08258
Scene307_3, football,0.003096
Scene307_4, baseballcap,0.12785
Scene307_4, football,0.141717
Scene307_5, baseballcap,0.00493
Scene307_5, football,0.12493
Scene307_6, tent,0.002397
Scene307_6, football,0.006498
Scene307_7, baseballcap,0.004128
Scene307_7, football,0.328736
Scene307_8, football,0.012881
Scene307_9, baseballcap,0.082003
Scene308_0, appletree,0.101622
Scene308_0, girl,0.000001
Scene308_0, vikinghat,0.449104
Scene308_1, girl,0.000002
Scene308_1, duck,0.029541
Scene308_1, purpleglasses,0.231165
Scene308_1, baseball,0.312008
Scene308_2, slide,0.12739
Scene308_2, girl,0.000263
Scene308_3, sandbox,0.001019
Scene308_3, girl,0.01707
Scene308_3, hotdog,0.093682
Scene308_4, beachball,0.25032
Scene308_5, girl,0.001095
Scene308_5, baseballcap,0.04192
Scene308_6, lightning,0.300442
Scene308_7, girl,0.231194
Scene308_8, lightning,0.000004
Scene308_8, girl,0.042235
Scene308_8, pie,0.000026
Scene308_8, football,0.034235
Scene308_8, fire,0.000169
Scene308_9, slide,0.002197
Scene308_9, swing,0.001018
Scene308_9, girl,0.000001
Scene308_9, vikinghat,0.01827
Scene308_9, basketball,0.008197
Scene308_9, tennisball,0.211612
Scene309_0, rocket,0.031351
Scene309_0, girl,0.000001
Scene309_0, soda,0.000001
Scene309_1, slide,0.004026
Scene309_1, appletree,0.000002
Scene309_1, girl,0.000004
Scene309_1, snake,0.000277
Scene309_2, baseballbat,0.904837
Scene309_3, rocket,0.000004
Scene309_3, sandbox,0.00493
Scene309_3, baseball,0.000054
Scene309_4, rocket,0.001888
Scene309_4, appletree,0.263817
Scene309_4, vikinghat,0.396531
Scene309_5, baseballcap,0.049762
Scene309_6, dog,0.00024
Scene309_7, rocket,0.082373
Scene309_7, tent,0.020445
Scene309_7, girl,0.000002
Scene309_7, baseballcap,0.004734
Scene309_8, rocket,0.002237
Scene309_8, bouncy,0.000117
Scene309_8, beachball,0.008497
Scene309_9, cat,0.211824
Scene310_0, girl,0.0001
Scene310_1, girl,0.000005
Scene310_2, slide,0.000217
Scene310_2, girl,0.438582
Scene310_3, girl,0.048123
Scene310_4, bear,0.086121
Scene310_4, owl,0.000001
Scene310_5, girl,0.153135
Scene310_5, bennie,0.131167
Scene310_5, purpleglasses,0.036748
Scene310_5, hamburger,0.61772
Scene310_6, appletree,0.000004
Scene310_6, girl,0.015972
Scene310_6, basketball,0.515107
Scene310_7, appletree,0.000315
Scene310_7, girl,0.000667
Scene310_7, owl,0.000002
Scene310_7, soda,0.000117
Scene310_7, shovel,0.0002
Scene310_8, sunglasses,0.157394
Scene310_9, girl,0.052972
Scene310_9, baseballcap,0.002534
Scene310_9, sunglasses,0.013698
Scene310_9, soda,0.80856
Scene310_9, pail,0.64275
Scene311_0, girl,0.164969
Scene311_0, pail,0.477114
Scene311_0, shovel,0.743416
Scene311_1, girl,0.036791
Scene311_1, pail,0.000051
Scene311_1, shovel,0.55322
Scene311_2, girl,0.062935
Scene311_2, pail,0.167984
Scene311_2, shovel,0.605167
Scene311_3, girl,0.005394
Scene311_3, sunglasses,0.034701
Scene311_3, pail,0.012959
Scene311_3, shovel,0.542265
Scene311_4, girl,0.005525
Scene311_4, duck,0.004608
Scene311_4, pail,0.036135
Scene311_4, shovel,0.578105
Scene311_5, girl,0.004335
Scene311_5, cat,0.000023
Scene311_5, piratehat,0.002279
Scene311_5, pail,0.026017
Scene311_5, shovel,0.603506
Scene311_6, pinetree,0.000149
Scene311_6, oaktree,0.000024
Scene311_6, cat,0.000117
Scene311_6, baseballcap,0.068426
Scene311_6, shovel,0.579842
Scene311_7, shovel,0.656718
Scene311_8, hotairballoon,0.000002
Scene311_8, girl,0.000219
Scene311_8, piratehat,0.047359
Scene311_8, pail,0.069079
Scene311_8, shovel,0.402927
Scene311_9, slide,0.010536
