name,object,closeness
Scene300_9, appletree,0.019747
Scene300_9, soccerball,0.000356
Scene301_0, piratehat,0.995012
Scene301_1, sun,0.000018
Scene301_1, appletree,0.004746
Scene301_1, piratehat,0.991536
Scene301_1, hotdog,0.000012
Scene301_2, piratehat,0.975798
Scene301_3, oaktree,0.001503
Scene301_3, piratehat,0.991536
Scene301_4, oaktree,0.000283
Scene301_4, piratehat,0.988047
Scene301_4, hotdog,0.000001
Scene301_5, lightning,0.000917
Scene301_5, piratehat,0.949329
Scene301_6, piratehat,0.979709
Scene301_7, piratehat,0.980199
Scene301_8, sun,0.035278
Scene301_8, piratehat,0.917136
Scene301_9, tent,0.039597
Scene301_9, piratehat,0.918512
Scene302_0, oaktree,0.006066
Scene302_0, hotdog,0.001605
Scene302_0, kite,0.060901
Scene302_9, grill,0.000109
Scene302_9, tent,0.125619
Scene302_9, kite,0.00002
Scene303_0, dog,0.000331
Scene303_0, beachball,0.000472
Scene303_1, beachball,0.403936
Scene303_2, wintercap,0.960789
Scene303_2, beachball,0.459324
Scene303_3, beachball,0.092181
Scene303_4, beachball,0.043067
Scene303_5, slide,0.154896
Scene303_5, beachball,0.005287
Scene303_6, oaktree,0.000009
Scene303_6, beachball,0.001729
Scene303_7, beachball,0.006278
Scene303_8, dog,0.006121
Scene303_8, sunglasses,0.67032
Scene303_9, sunglasses,0.656718
Scene303_9, beachball,0.006192
Scene303_9, tennisball,0.049539
Scene304_0, sandbox,0.029386
Scene304_0, shovel,0.013695
Scene304_1, lightning,0.000144
Scene304_1, swing,0.002237
Scene304_2, soda,0.086361
Scene304_3, cloud,0.000127
Scene304_3, dog,0.00025
Scene304_4, bouncy,0.012004
Scene304_4, appletree,0.231656
Scene304_5, oaktree,0.077112
Scene304_5, sunglasses,0.65639
Scene304_6, sunglasses,0.65377
Scene304_7, appletree,0.007447
Scene304_7, wizardhat,0.94365
Scene304_8, slide,0.041378
Scene304_9, airplane,0.000145
Scene306_0, airplane,0.000458
Scene306_0, baseballcap,0.983144
Scene306_1, cloud,0.000002
Scene306_1, beachball,0.000624
Scene306_2, airplane,0.000004
Scene306_2, crown,0.987084
Scene306_3, tent,0.000003
Scene306_3, oaktree,0.192723
Scene306_3, piratehat,0.992032
Scene306_3, beachball,0.012494
Scene306_4, sun,0.000002
Scene306_5, airplane,0.000001
Scene306_5, piratehat,0.998002
Scene306_5, tennisball,0.037534
Scene306_6, airplane,0.083367
Scene306_6, hamburger,0.000508
Scene306_6, beachball,0.000351
Scene306_7, sun,0.000214
Scene306_7, sunglasses,0.713195
Scene306_7, beachball,0.000114
Scene306_8, table,0.002777
Scene306_8, beachball,0.000006
Scene306_9, oaktree,0.223912
Scene306_9, beachball,0.002045
Scene307_0, football,0.000019
Scene307_1, rocket,0.004149
Scene307_2, pinetree,0.000935
