name,object,closeness
Scene300_1, swing,0.000131
Scene300_1, dog,0.019949
Scene300_1, purpleglasses,0.076169
Scene300_2, swing,0.000271
Scene300_2, duck,0.538752
Scene300_2, owl,0.026121
Scene300_2, wizardhat,0.000352
Scene300_3, bouncy,0.010436
Scene300_3, swing,0.002237
Scene300_3, baseball,0.995012
Scene300_5, slide,0.001159
Scene300_5, swing,0.000454
Scene300_5, bennie,0.030182
Scene300_7, sunglasses,0.068426
Scene300_8, swing,0.000083
Scene300_8, duck,0.000003
Scene300_8, hamburger,0.945067
Scene300_9, swing,0.006461
Scene301_0, sun,0.000006
Scene301_0, grill,0.00258
Scene301_0, hotdog,0.939413
Scene301_1, pinetree,0.000104
Scene301_1, boy,0.000007
Scene301_1, piratehat,0.000007
Scene301_1, hotdog,0.987578
Scene301_2, cloud,0.000001
Scene301_2, hotdog,0.941294
Scene301_2, beachball,0.000033
Scene301_3, hotdog,0.913931
Scene301_3, ketchup,0.075736
Scene301_4, table,0.161607
Scene301_4, boy,0.000637
Scene301_4, piratehat,0.000006
Scene301_4, hotdog,0.660053
Scene301_5, cloud,0.000016
Scene301_5, hotdog,0.968022
Scene301_5, fire,0.008325
Scene301_6, snake,0.029232
Scene301_6, hotdog,0.945067
Scene301_6, soda,0.950754
Scene301_7, hotdog,0.93426
Scene301_8, table,0.037534
Scene301_8, hotdog,0.940823
Scene301_9, hotdog,0.974335
Scene301_9, fire,0.133121
Scene302_0, boy,0.007112
Scene302_0, hotdog,0.618165
Scene302_0, kite,0.794136
Scene302_1, bouncy,0.001391
Scene302_1, bennie,0.726033
Scene302_1, kite,0.431222
Scene302_2, swing,0.137381
Scene302_2, oaktree,0.000001
Scene302_2, kite,0.901225
Scene302_3, baseballcap,0.014286
Scene302_3, kite,0.960789
Scene302_4, sandbox,0.000165
Scene302_4, kite,0.964158
Scene302_5, beachball,0.000055
Scene302_5, kite,0.888706
Scene302_6, kite,0.920126
Scene302_7, wizardhat,0.526921
Scene302_7, beachball,0.000113
Scene302_7, kite,0.333745
Scene302_8, baseballcap,0.059368
Scene302_8, kite,0.886034
Scene302_9, grill,0.02067
Scene302_9, oaktree,0.004313
Scene302_9, kite,0.372023
Scene303_0, oaktree,0.000694
Scene303_0, boy,0.000001
Scene303_0, beachball,0.021408
Scene303_1, boy,0.000002
Scene303_1, beachball,0.000838
Scene303_2, boy,0.000014
Scene303_2, dog,0.000006
Scene303_2, vikinghat,0.005418
Scene303_2, sunglasses,0.002206
Scene303_2, beachball,0.000002
Scene303_3, boy,0.000006
Scene303_3, beachball,0.007439
