name,object,closeness
Scene300_0, cat,0.017379
Scene300_1, swing,0.193263
Scene300_1, dog,0.000326
Scene300_1, purpleglasses,0.827534
Scene300_2, swing,0.000001
Scene300_2, duck,0.000081
Scene300_2, owl,0.000002
Scene300_2, wizardhat,0.737123
Scene300_3, bouncy,0.002302
Scene300_3, swing,0.002194
Scene300_3, oaktree,0.000001
Scene300_3, baseball,0.004596
Scene300_5, slide,0.00344
Scene300_5, swing,0.000208
Scene300_5, bennie,0.993119
Scene300_7, sunglasses,0.598996
Scene300_8, swing,0.161621
Scene300_8, hamburger,0.008413
Scene300_9, swing,0.314018
Scene301_0, sun,0.037855
Scene301_0, hotdog,0.007597
Scene301_1, pinetree,0.000025
Scene301_1, hotdog,0.167211
Scene301_2, cloud,0.000001
Scene301_2, hotdog,0.004387
Scene301_3, hotairballoon,0.000007
Scene301_3, hotdog,0.070651
Scene301_3, ketchup,0.002315
Scene301_4, table,0.000404
Scene301_4, hotdog,0.056776
Scene301_5, cloud,0.002658
Scene301_5, hotdog,0.120935
Scene301_6, hotairballoon,0.000207
Scene301_6, hotdog,0.054776
Scene301_6, soda,0.003135
Scene301_7, hotdog,0.010436
Scene301_8, table,0.000005
Scene301_8, hotdog,0.001343
Scene301_9, hotdog,0.070651
Scene301_9, fire,0.000009
Scene302_0, sun,0.000001
Scene302_0, hotdog,0.000037
Scene302_0, kite,0.008442
Scene302_1, bouncy,0.000001
Scene302_1, bennie,0.997782
Scene302_1, kite,0.000022
Scene302_2, cloud,0.000001
Scene302_2, swing,0.918972
Scene302_3, cloud,0.000005
Scene302_3, baseballcap,0.992032
Scene302_4, sun,0.000314
Scene302_5, kite,0.000219
Scene302_6, kite,0.000006
Scene302_7, wizardhat,0.976042
Scene302_7, kite,0.000004
Scene302_8, baseballcap,0.987578
Scene302_9, cloud,0.000001
Scene302_9, grill,0.000044
Scene302_9, oaktree,0.000179
Scene302_9, kite,0.000056
Scene303_0, sun,0.003073
Scene303_0, oaktree,0.07942
Scene303_0, beachball,0.000462
Scene303_1, sun,0.005736
Scene303_1, beachball,0.000002
Scene303_2, sun,0.025198
Scene303_2, vikinghat,0.000006
Scene303_3, beachball,0.000183
Scene303_4, sun,0.000108
Scene303_4, beachball,0.00001
Scene303_5, sun,0.000008
Scene303_5, table,0.000159
Scene303_5, beachball,0.00011
Scene303_6, sun,0.000099
Scene303_6, beachball,0.000456
Scene303_7, oaktree,0.016262
Scene303_7, dog,0.000405
Scene303_7, beachball,0.000032
Scene303_8, oaktree,0.186001
Scene303_8, beachball,0.000053
Scene303_9, beachball,0.000532
Scene304_0, swing,0.02293
Scene304_0, shovel,0.000001
Scene304_1, rain,0.012875
Scene304_1, swing,0.002792
Scene304_2, swing,0.260951
Scene304_2, crown,0.982038
Scene304_2, pail,0.000039
Scene304_3, swing,0.004136
Scene304_3, purpleglasses,0.829838
Scene304_4, swing,0.077576
Scene304_5, swing,0.461603
Scene304_5, dog,0.000019
Scene304_6, sun,0.000009
Scene304_6, swing,0.40433
Scene304_7, cloud,0.00001
Scene304_7, swing,0.035991
Scene304_8, swing,0.013098
Scene304_9, swing,0.000019
Scene306_0, sun,0.000407
Scene306_1, oaktree,0.02326
Scene306_3, tent,0.000059
Scene306_3, pinetree,0.02603
Scene306_3, purpleglasses,0.615697
Scene306_4, wizardhat,0.879853
Scene306_5, cloud,0.000001
Scene306_5, oaktree,0.000078
Scene306_5, dog,0.000013
Scene306_6, beachball,0.00002
Scene306_7, airplane,0.00022
Scene306_8, table,0.000002
Scene306_8, beachball,0.000029
Scene306_9, airplane,0.000091
Scene307_0, purpleglasses,0.617238
Scene307_1, hotairballoon,0.000035
Scene307_2, appletree,0.000617
Scene307_3, airplane,0.00011
Scene307_4, oaktree,0.293464
Scene307_4, snake,0.000851
Scene307_5, oaktree,0.011322
Scene307_6, helicopter,0.000008
Scene307_6, cloud,0.000382
Scene307_6, football,0.000145
Scene307_7, hotairballoon,0.002625
Scene307_8, pinetree,0.000441
Scene307_8, football,0.000001
Scene307_9, sun,0.000002
Scene307_9, football,0.059725
Scene308_0, lightning,0.000084
Scene308_0, sandbox,0.000085
Scene308_0, appletree,0.000013
Scene308_1, lightning,0.000002
Scene308_1, duck,0.000004
Scene308_1, baseball,0.000001
Scene308_2, rain,0.010499
Scene308_2, boy,0.000001
